County,State_Code,Violent_Crime_Total,Murder,Rape,Robbery,Assault,Burglary,Larceny-Theft,Vehicle_Theft
Jefferson,TN,129,1,12,10,106,515,362,1
Johnson,TN,52,,3,,49,93,84,12
Knox,TN,2,244,26,110,611,2,550,17
Lake,TN,33,,,1,32,30,50,3
Lauderdale,TN,187,1,8,22,156,187,352,728
Lawrence,TN,391,,24,12,355,649,512,1
Lewis,TN,19,2,1,,16,62,172,14
Lincoln,TN,165,2,3,11,149,279,523,44
Loudon,TN,127,3,12,6,106,362,269,975
McMinn,TN,354,4,17,18,315,017,545,1
McNairy,TN,103,1,6,5,91,140,456,63
Macon,TN,103,,6,1,96,94,269,33
Madison,TN,927,7,51,199,670,5,858,1
Marion,TN,95,,7,2,86,166,488,135
Marshall,TN,68,,6,13,49,155,474,30
Maury,TN,514,4,30,65,415,312,605,2
Meigs,TN,52,1,4,1,46,90,135,20
Monroe,TN,296,6,11,9,270,560,387,1
Montgomery,TN,886,5,73,150,658,917,1,247
Moore,TN,6,,1,1,4,25,41,
Morgan,TN,35,,1,1,33,102,98,32
Obion,TN,110,1,5,9,95,140,245,828
Overton,TN,35,,,5,30,137,201,29
Perry,TN,21,,2,,19,79,79,18
Pickett,TN,1,,,,1,9,10,2
Polk,TN,47,,3,5,39,85,161,31
Putnam,TN,184,4,20,24,136,128,416,1
Rhea,TN,87,2,2,3,80,81,591,36
Roane,TN,192,2,15,20,155,130,556,1
Robertson,TN,363,8,24,32,299,597,270,1
Rutherford,TN,1,054,4,80,139,6,738,1
Scott,TN,121,1,5,,115,220,372,40
Sequatchie,TN,44,,2,2,40,48,121,38
Sevier,TN,238,1,29,22,186,552,893,2
Shelby,TN,10,719,110,492,3,226,10,280
Smith,TN,59,2,4,4,49,64,203,19
Stewart,TN,51,,4,,47,111,136,24
Sullivan,TN,931,8,75,104,744,734,1,471
Sumner,TN,601,3,55,42,501,107,610,2
Tipton,TN,329,2,18,40,269,764,508,1
Trousdale,TN,21,,6,1,14,46,61,6
Unicoi,TN,19,,,1,18,77,575,20
Union,TN,43,,1,2,40,148,244,40
Van Buren,TN,5,1,,,4,11,45,13
Warren,TN,120,1,14,8,97,217,641,96
Washington,TN,521,4,19,70,428,176,1,044
Wayne,TN,40,,2,1,37,122,114,38
Weakley,TN,88,,10,3,75,167,506,35
White,TN,77,,7,3,67,272,464,82
Williamson,TN,236,1,18,26,191,232,326,1
Wilson,TN,356,3,17,23,313,449,557,1
Anderson,TX,141,2,5,21,113,315,410,813
Andrews,TX,46,2,13,1,30,89,281,10
Angelina,TX,537,3,47,63,424,906,855,1
Aransas,TX,128,3,5,14,106,612,425,1
Archer,TX,8,,2,,6,43,36,14
Armstrong,TX,4,,,,4,8,20,2
Atascosa,TX,69,8,14,5,42,278,600,50
Austin,TX,101,,9,5,87,197,341,44
Bailey,TX,13,,,,13,37,118,13
Bandera,TX,34,,5,1,28,110,275,22
Bastrop,TX,201,1,9,11,180,088,677,1
Baylor,TX,10,,,1,9,32,66,1
Bee,TX,65,,6,4,55,216,488,33
Bell,TX,1,145,20,108,232,10,255,3
Bexar,TX,8,622,104,756,2,484,8,700
Blanco,TX,5,,,,5,61,129,6
Borden,TX,,,,,,6,3,
Bosque,TX,39,,3,1,35,93,75,9
Bowie,TX,592,5,39,85,463,793,854,2
Brazoria,TX,564,7,99,100,358,698,1,848
Brazos,TX,941,,107,128,706,505,1,653
Brewster,TX,22,,2,1,19,50,121,3
Briscoe,TX,,,,,,8,8,5
Brooks,TX,14,,,1,13,106,156,1
Brown,TX,113,3,16,11,83,961,378,1
Burleson,TX,38,5,3,4,26,85,101,14
Burnet,TX,73,,6,4,63,224,564,59
Caldwell,TX,133,,12,9,112,217,708,38
Calhoun,TX,64,3,6,6,49,197,430,40
Callahan,TX,24,4,,1,19,51,61,14
Cameron,TX,1,724,7,126,301,1,574,20
Camp,TX,32,,10,2,20,100,195,19
Carson,TX,9,,,,9,11,15,1
Cass,TX,68,2,18,6,42,176,446,42
Castro,TX,23,,1,1,21,61,154,13
Chambers,TX,75,2,4,14,55,300,574,68
Cherokee,TX,207,1,27,21,158,478,440,939
Childress,TX,17,,2,1,14,55,82,6
Clay,TX,15,,3,2,10,79,124,14
Cochran,TX,3,,,,3,10,51,7
Coke,TX,4,,,,4,7,4,1
Coleman,TX,11,,1,2,8,103,131,8
Collin,TX,1,764,22,174,521,1,692,19
Collingsworth,TX,3,,,,3,31,15,
Colorado,TX,54,1,5,2,46,100,253,25
Comal,TX,258,1,42,18,197,176,657,2
Comanche,TX,27,,9,,18,104,186,16
Concho,TX,5,,,,5,8,10,3
Cooke,TX,73,1,4,25,43,637,392,1
Coryell,TX,158,,27,21,110,382,360,973
Cottle,TX,1,,,,1,8,2,2
Crane,TX,18,1,,,17,25,65,3
Crockett,TX,7,,1,1,5,22,42,1
Crosby,TX,16,,4,2,10,28,32,6
Culberson,TX,2,,,,2,2,4,3
Dallam,TX,25,,2,1,22,45,95,5
Dallas,TX,18,945,278,802,8,739,18,695
Dawson,TX,41,,1,3,37,116,241,14
Deaf Smith,TX,79,,4,3,72,141,433,18
Delta,TX,11,,,1,10,72,112,6
Denton,TX,1,319,16,140,390,123,16,419
DeWitt,TX,61,,7,5,49,144,364,16
Dickens,TX,1,,1,,,8,5,
Dimmit,TX,45,,,3,42,85,194,31
Donley,TX,14,,,1,13,27,27,4
Duval,TX,52,1,2,,49,95,154,10
Eastland,TX,22,1,3,3,15,142,366,23
Ector,TX,639,3,19,94,523,363,1,145
Edwards,TX,7,,,,7,25,15,6
Ellis,TX,306,3,36,46,221,093,965,2
El Paso,TX,3,632,17,229,606,4,789,23
Erath,TX,78,2,27,9,40,196,711,32
Falls,TX,56,2,1,6,47,93,159,30
Fannin,TX,99,1,14,7,77,178,444,36
Fayette,TX,17,,2,1,14,60,153,10
Fisher,TX,8,,,1,7,18,40,2
Floyd,TX,13,,4,2,7,70,89,5
Foard,TX,4,,,,4,14,5,
Fort Bend,TX,1,786,21,163,549,1,352,11
Franklin,TX,9,1,1,,7,40,59,4
Freestone,TX,33,2,5,,26,89,112,31
Frio,TX,52,1,,8,43,128,226,10
Gaines,TX,7,,1,,6,30,130,7
Galveston,TX,1,376,14,175,319,236,10,743
Garza,TX,3,1,1,,1,11,61,6
Gillespie,TX,15,,2,,13,60,302,9
Glasscock,TX,,,,,,,,
Goliad,TX,5,1,,2,2,15,18,
Gonzales,TX,108,3,2,7,96,98,365,7
Gray,TX,85,,8,7,70,233,638,38
Grayson,TX,331,7,20,55,249,138,990,2
Gregg,TX,931,7,69,179,676,573,1,388
Grimes,TX,58,2,1,13,42,203,428,36
Guadalupe,TX,267,1,39,27,200,899,667,2
Hale,TX,76,1,5,18,52,830,405,1
Hall,TX,8,,,1,7,22,14,7
Hamilton,TX,14,2,2,,10,44,51,5
Hansford,TX,3,,,,3,7,30,4
Hardeman,TX,11,,2,,9,29,76,5
Hardin,TX,80,1,2,12,65,013,247,691
Harris,TX,31,741,346,1,459,17,551,27
Harrison,TX,306,5,19,46,236,467,827,1
Hartley,TX,10,,2,,8,35,59,3
Haskell,TX,16,,,,16,35,59,2
Hays,TX,224,1,29,40,154,755,510,2
Hemphill,TX,7,,,1,6,18,21,4
Henderson,TX,393,5,13,23,352,393,750,1
Hidalgo,TX,3,320,30,196,662,2,748,36
Hill,TX,64,1,4,14,45,258,652,52
Hockley,TX,72,1,4,2,65,150,383,11
Hood,TX,66,1,2,3,60,279,288,917
Hopkins,TX,85,2,7,6,70,228,485,50
Houston,TX,59,1,6,8,44,126,347,27
Howard,TX,81,1,18,11,51,067,434,591
Hudspeth,TX,5,,,,5,21,19,2
Hunt,TX,357,9,10,72,266,003,1,100
Hutchinson,TX,61,,11,8,42,187,749,44
Irion,TX,5,,,,5,11,8,2
Jack,TX,6,,,,6,23,54,6
Jackson,TX,24,,6,2,16,56,166,8
Jasper,TX,133,1,13,7,112,242,604,30
Jeff Davis,TX,3,,1,,2,5,5,1
Jefferson,TX,1,485,14,109,479,589,13,805
Jim Hogg,TX,7,,,1,6,21,58,1
Jim Wells,TX,390,2,24,8,356,679,745,1
Johnson,TX,442,1,43,44,354,749,1,173
Jones,TX,67,2,10,9,46,200,307,21
Karnes,TX,16,1,,,15,48,58,3
Kaufman,TX,527,5,50,56,416,382,1,073
Kendall,TX,35,1,5,2,27,76,295,18
Kenedy,TX,2,,,2,,,,
Kent,TX,2,,,,2,9,2,
Kerr,TX,94,,10,13,71,218,247,928
Kimble,TX,21,,,1,20,32,127,3
King,TX,,,,,,,,
Kinney,TX,,,,,,,1,1
Kleberg,TX,201,,15,12,174,885,483,1
Knox,TX,10,,2,,8,25,44,9
Lamar,TX,405,6,91,41,267,974,577,2
Lamb,TX,53,,6,,47,123,231,15
Lampasas,TX,32,,8,4,20,55,305,8
La Salle,TX,17,,2,,15,39,56,11
Lavaca,TX,10,,1,,9,49,164,5
Lee,TX,45,,4,3,38,89,214,23
Leon,TX,56,,3,1,52,75,96,12
Liberty,TX,255,8,18,29,200,133,587,1
Limestone,TX,80,3,12,17,48,205,662,49
Lipscomb,TX,3,,,,3,6,4,3
Live Oak,TX,5,,,,5,32,77,6
Llano,TX,27,1,8,,18,141,243,16
Loving,TX,1,,,,1,1,,
Lubbock,TX,2,328,19,113,325,2,590,14
Lynn,TX,8,,2,,6,29,68,4
McCulloch,TX,19,,1,2,16,43,145,10
McLennan,TX,1,244,19,89,287,206,12,757
McMullen,TX,,,,,,6,1,
Madison,TX,39,1,4,4,30,112,228,24
Marion,TX,33,,9,3,21,145,147,27
Martin,TX,2,,1,,1,25,17,
Mason,TX,8,,,,8,16,27,1
Matagorda,TX,204,4,6,32,162,610,365,1
Maverick,TX,161,,2,16,143,575,362,1
Medina,TX,90,3,21,12,54,252,496,36
Menard,TX,12,,,,12,9,16,1
Midland,TX,263,2,26,50,185,004,514,1
Milam,TX,71,2,9,6,54,177,456,35
Mills,TX,2,,,,2,13,11,
Mitchell,TX,9,,,1,8,38,124,7
Montague,TX,35,2,12,4,17,158,420,51
Montgomery,TX,1,313,10,90,219,118,10,216
Moore,TX,67,,11,5,51,93,395,23
Morris,TX,27,,3,2,22,84,152,17
Motley,TX,,,,,,,,3
Nacogdoches,TX,202,1,13,34,154,961,554,1
Navarro,TX,99,4,14,26,55,962,532,1
Newton,TX,16,,2,1,13,73,76,7
Nolan,TX,30,,4,3,23,152,210,19
Nueces,TX,2,188,26,235,557,2,223,21
Ochiltree,TX,23,,1,,22,31,138,7
Oldham,TX,10,1,6,,3,13,16,1
Orange,TX,477,2,37,75,363,073,944,1
Palo Pinto,TX,64,1,11,13,39,094,289,743
Panola,TX,76,,2,5,69,118,367,52
Parker,TX,140,1,17,26,96,460,695,1
Parmer,TX,27,,2,5,20,51,71,11
Pecos,TX,14,1,1,,12,122,201,9
Polk,TX,110,5,20,13,72,103,371,650
Potter,TX,834,6,44,218,566,932,1,396
Presidio,TX,9,,,,9,19,40,4
Rains,TX,10,,2,,8,75,110,16
Randall,TX,684,6,42,164,472,497,1,126
Reagan,TX,2,,,,2,4,15,1
Real,TX,3,1,,,2,14,9,
Red River,TX,37,,4,1,32,111,123,11
Reeves,TX,13,,,,13,73,220,6
Refugio,TX,27,,1,1,25,46,57,10
Roberts,TX,1,,,,1,7,16,
Robertson,TX,106,,8,9,89,143,213,20
Rockwall,TX,118,,9,17,92,309,321,884
Runnels,TX,23,,,3,20,86,179,10
Rusk,TX,340,4,41,17,278,819,390,1
Sabine,TX,5,1,,1,3,116,129,10
San Augustine,TX,37,,2,2,33,93,109,15
San Jacinto,TX,41,3,1,6,31,173,223,52
San Patricio,TX,166,2,22,23,119,275,634,1
San Saba,TX,7,1,,,6,34,33,5
Schleicher,TX,2,,,,2,5,17,
Scurry,TX,46,,1,3,42,97,205,20
Shackelford,TX,,,,,,6,9,2
Shelby,TX,74,,4,8,62,191,334,40
Sherman,TX,2,,,,2,19,25,1
Smith,TX,881,9,97,167,608,393,1,848
Somervell,TX,7,,1,,6,81,64,6
Starr,TX,159,4,8,22,125,242,385,682
Stephens,TX,8,,1,,7,60,73,5
Sterling,TX,,,,,,3,,
Stonewall,TX,,,,,,3,3,1
Sutton,TX,8,,1,1,6,8,31,2
Swisher,TX,27,,,1,26,48,99,7
Tarrant,TX,7,441,79,690,2,225,7,506
Taylor,TX,493,6,55,172,260,912,1,751
Terrell,TX,7,,,,7,9,6,
Terry,TX,36,,3,4,29,73,162,23
Throckmorton,TX,,,,,,5,23,
Titus,TX,114,2,7,21,84,213,660,57
Tom Green,TX,421,1,68,60,292,226,1,167
Travis,TX,3,982,29,367,1,160,3,494
Trinity,TX,33,,1,7,25,116,142,34
Tyler,TX,32,1,4,3,24,87,102,10
Upshur,TX,85,4,4,6,71,061,305,691
Upton,TX,1,,,,1,5,25,2
Uvalde,TX,84,1,1,7,75,236,407,785
Val Verde,TX,68,1,1,9,57,299,339,881
Van Zandt,TX,151,4,2,15,130,360,468,725
Victoria,TX,466,7,39,97,323,960,1,062
Walker,TX,272,3,18,33,218,812,436,1
Waller,TX,95,3,6,6,80,241,372,758
Ward,TX,31,,3,2,26,43,133,4
Washington,TX,105,1,10,10,84,235,521,37
Webb,TX,1,157,19,55,229,020,13,780
Wharton,TX,182,,12,29,141,576,493,992
Wheeler,TX,12,,1,2,9,35,21,7
Wichita,TX,1,248,9,78,220,8,426,2
Wilbarger,TX,66,,2,8,56,112,418,30
Willacy,TX,117,,3,3,111,289,538,21
Williamson,TX,567,4,92,83,388,062,1,153
Wilson,TX,90,,5,2,83,177,350,18
Winkler,TX,11,1,2,1,7,30,45,6
Wise,TX,172,,14,2,156,163,326,790
Wood,TX,31,,,2,29,306,423,12
Yoakum,TX,14,,,1,13,12,70,3
Young,TX,24,,5,,19,93,317,25
Zapata,TX,54,,3,2,49,243,169,36
Zavala,TX,20,,,,20,61,170,14
Beaver,UT,7,,,,7,15,55,6
Box Elder,UT,69,,22,4,43,220,284,892
Cache,UT,67,,26,4,37,859,326,1
Carbon,UT,30,,6,3,21,130,401,26
Daggett,UT,2,,,,2,7,16,1
Davis,UT,314,1,86,51,176,300,930,4
Duchesne,UT,23,1,7,1,14,72,248,21
Emery,UT,5,,,,5,39,105,2
Garfield,UT,,,,,,,,
Grand,UT,37,2,2,2,31,58,262,15
Iron,UT,49,2,9,6,32,148,640,40
Juab,UT,13,,3,,10,48,185,13
Kane,UT,1,,,,1,16,49,2
Millard,UT,21,1,6,,14,63,288,33
Morgan,UT,8,,5,,3,25,49,2
Piute,UT,,,,,,,,
Rich,UT,6,,,,6,16,36,1
Salt Lake,UT,3,563,31,498,941,3,228,53
San Juan,UT,11,,6,1,4,16,53,5
Sanpete,UT,18,,3,,15,82,189,15
Sevier,UT,29,1,7,1,20,99,549,31
Summit,UT,24,,12,7,5,159,180,923
Tooele,UT,108,,29,14,65,327,273,948
Uintah,UT,63,1,13,2,47,017,406,553
Utah,UT,417,5,127,52,233,407,2,390
Wasatch,UT,14,,1,,13,73,143,13
Washington,UT,171,,24,2,145,023,431,1
Wayne,UT,2,,,,2,7,24,2
Weber,UT,511,6,59,138,308,580,1,381
Addison,VT,6,,1,,5,86,150,16
Bennington,VT,38,,9,1,28,180,606,38
Caledonia,VT,30,,7,4,19,153,364,34
Chittenden,VT,255,7,48,41,159,845,971,3
Essex,VT,,,,,,,,
Franklin,VT,73,,20,3,50,317,442,802
Grand Isle,VT,1,,,,1,16,27,6
Lamoille,VT,17,,2,,15,96,392,24
Orange,VT,30,,9,2,19,111,206,21
Orleans,VT,5,,3,2,,151,236,26
Rutland,VT,51,,7,13,31,459,253,1
Washington,VT,51,,19,2,30,340,306,1
Windham,VT,87,4,21,4,58,086,260,769
Windsor,VT,43,5,8,3,27,290,666,43
Accomack,VA,59,1,11,21,26,85,495,50
Albemarle,VA,128,1,29,20,78,765,212,1
Alleghany,VA,28,,3,4,21,59,159,13
Amelia,VA,11,,1,1,9,11,79,14
Amherst,VA,38,1,10,10,17,56,281,33
Appomattox,VA,18,,2,4,12,23,75,2
Arlington,VA,418,1,27,179,211,972,364,4
Augusta,VA,94,4,8,10,72,184,615,71
Bath,VA,1,,1,,,3,5,
Bedford,VA,61,,14,2,45,145,510,37
Bland,VA,3,,1,2,,44,38,4
Botetourt,VA,32,,2,2,28,40,323,18
Brunswick,VA,14,1,3,3,7,86,188,34
Buchanan,VA,61,6,11,8,36,201,372,50
Buckingham,VA,19,,2,2,15,41,134,13
Campbell,VA,75,1,14,11,49,154,538,57
Caroline,VA,89,1,7,5,76,28,168,32
Carroll,VA,51,1,3,5,42,116,261,56
Charles City,VA,3,,,,3,14,17,2
Charlotte,VA,17,,1,1,15,10,11,3
Chesterfield,VA,534,9,51,203,271,778,1,393
Clarke,VA,41,3,7,,31,32,206,17
Craig,VA,8,2,,,6,11,16,2
Culpeper,VA,72,,13,12,47,76,622,33
Cumberland,VA,12,,1,,11,38,57,6
Dickenson,VA,13,,2,1,10,71,121,7
Dinwiddie,VA,40,4,6,5,25,48,492,58
Essex,VA,13,1,,2,10,17,194,9
Fairfax,VA,663,4,36,361,262,070,166,14
Fauquier,VA,95,,9,7,79,93,781,44
Floyd,VA,6,,1,,5,32,151,21
Fluvanna,VA,32,,6,2,24,44,167,22
Franklin,VA,58,2,12,3,41,107,600,76
Frederick,VA,77,1,23,15,38,178,215,859
Giles,VA,31,,3,,28,13,52,
Gloucester,VA,31,1,10,6,14,45,357,16
Goochland,VA,48,2,2,3,41,42,125,26
Grayson,VA,25,,4,,21,67,74,16
Greene,VA,15,,3,2,10,30,101,11
Greensville,VA,24,,3,6,15,72,168,18
Halifax,VA,70,3,7,18,42,204,669,36
Hanover,VA,68,3,15,24,26,448,137,1
Henrico,VA,668,17,28,293,330,785,1,628
Henry,VA,178,8,12,39,119,338,303,919
Highland,VA,,,,,,,1,1
Isle of Wight,VA,38,1,4,12,21,22,586,38
James City,VA,85,,20,12,53,124,715,53
King and Queen,VA,,,,,,,,1
King George,VA,22,2,4,3,13,40,319,27
King William,VA,6,,2,1,3,20,91,13
Lancaster,VA,7,,1,1,5,49,78,4
Lee,VA,36,3,4,4,25,59,297,28
Loudoun,VA,207,1,39,47,120,615,327,3
Louisa,VA,34,,10,5,19,63,384,28
Lunenburg,VA,13,,,,13,36,88,7
Madison,VA,8,,2,1,5,7,70,2
Mathews,VA,7,1,2,1,3,43,86,6
Mecklenburg,VA,71,1,13,10,47,131,527,31
Middlesex,VA,4,,1,2,1,13,78,7
Montgomery,VA,144,4,35,16,89,005,374,1
Nelson,VA,14,1,1,2,10,52,162,20
New Kent,VA,9,,,3,6,42,182,10
Northampton,VA,34,1,2,8,23,98,183,18
Northumberland,VA,9,1,,1,7,34,149,12
Nottoway,VA,27,,2,9,16,32,258,27
Orange,VA,30,,7,3,20,49,252,29
Page,VA,20,1,4,1,14,34,148,6
Patrick,VA,23,2,4,7,10,106,224,29
Pittsylvania,VA,72,1,10,8,53,190,260,69
Powhatan,VA,12,,1,2,9,48,163,26
Prince Edward,VA,19,1,7,,11,5,79,1
Prince George,VA,52,1,12,13,26,21,310,36
Prince William,VA,573,5,31,218,319,084,1,105
Pulaski,VA,50,,7,5,38,128,843,27
Rappahannock,VA,4,,1,,3,17,36,7
Richmond,VA,12,2,,,10,13,54,7
Roanoke,VA,213,1,18,10,184,424,241,1
Rockbridge,VA,15,,9,,6,63,289,15
Rockingham,VA,34,1,10,3,20,147,305,35
Russell,VA,61,1,10,8,42,95,434,41
Scott,VA,42,,6,8,28,86,325,37
Shenandoah,VA,39,1,6,3,29,46,351,24
Smyth,VA,55,2,13,2,38,113,527,38
Southampton,VA,21,,3,3,15,40,246,24
Spotsylvania,VA,176,5,11,20,140,627,100,1
Stafford,VA,116,5,26,17,68,620,160,1
Surry,VA,25,1,2,3,19,26,57,3
Sussex,VA,29,2,2,3,22,35,151,12
Tazewell,VA,86,,22,8,56,305,279,963
Warren,VA,47,,12,10,25,77,656,60
Washington,VA,116,6,16,6,88,301,243,980
Westmoreland,VA,38,3,1,3,31,54,161,17
Wise,VA,111,3,22,6,80,213,667,66
Wythe,VA,48,,10,4,34,50,493,32
York,VA,56,1,9,11,35,168,96,1
Alexandria,VA,379,2,30,161,186,445,351,2
Bedford,VA,23,,4,4,15,24,188,4
Bristol,VA,94,1,7,24,62,108,528,36
Buena Vista,VA,28,,3,2,23,12,61,7
Charlottesville,VA,329,4,35,68,222,919,230,1
Chesapeake,VA,1,111,12,61,295,070,7,724
Clifton Forge,VA,,,,,,,,
Colonial Heights,VA,52,4,4,20,24,73,672,35
Covington,VA,19,1,3,6,9,86,163,10
Danville,VA,299,3,16,92,188,228,270,1
Emporia,VA,42,,2,15,25,60,385,13
Fairfax,VA,10,,7,1,2,22,494,21
Falls Church,VA,25,1,2,8,14,35,316,50
Franklin,VA,30,2,1,8,19,22,268,23
Fredericksburg,VA,95,2,12,24,57,011,78,855
Galax,VA,29,,2,1,26,53,253,17
Hampton,VA,592,14,51,226,301,072,798,3
Harrisonburg,VA,121,1,20,27,73,290,302,907
Hopewell,VA,177,1,12,55,109,135,275,738
Lexington,VA,5,,,2,3,41,104,8
Lynchburg,VA,244,4,19,64,157,510,386,1
Manassas,VA,162,3,22,48,89,143,126,878
Manassas Park,VA,30,,5,5,20,23,228,40
Martinsville,VA,57,1,6,19,31,90,415,25
Newport News,VA,1,396,18,111,524,355,7,897
Norfolk,VA,1,388,35,88,697,690,13,022
Norton,VA,16,1,,2,13,19,184,8
Petersburg,VA,316,4,26,113,173,564,564,1
Poquoson,VA,9,,,2,7,38,136,9
Portsmouth,VA,892,8,31,344,509,414,1,245
Radford,VA,4,,1,,3,2,67,1
Richmond,VA,2,745,96,107,1,187,2,538
Roanoke,VA,856,8,62,187,599,993,995,4
Salem,VA,34,,5,8,21,66,515,43
South Boston,VA,,,,,,,,
Staunton,VA,61,1,6,10,44,68,576,26
Suffolk,VA,427,5,31,94,297,849,496,2
Virginia Beach,VA,1,014,15,141,478,13,558,1
Waynesboro,VA,72,2,3,10,57,86,624,46
Williamsburg,VA,18,1,6,4,7,31,599,21
Winchester,VA,74,,7,20,47,433,109,1
Adams,WA,61,,9,11,41,265,624,50
Asotin,WA,48,1,5,1,41,129,554,57
Benton,WA,389,5,46,60,278,736,1,226
Chelan,WA,163,2,46,26,89,305,570,2
Clallam,WA,169,3,47,16,103,814,398,1
Clark,WA,984,12,189,212,571,402,2,698
Columbia,WA,8,,,,8,29,180,4
Cowlitz,WA,357,5,49,61,242,808,1,306
Douglas,WA,55,1,12,4,38,270,238,973
Ferry,WA,7,1,4,,2,9,28,2
Franklin,WA,161,3,15,38,105,083,434,1
Garfield,WA,9,,3,,6,8,56,1
Grant,WA,179,3,31,33,112,122,930,2
Grays Harbor,WA,170,,34,30,106,883,818,2
Island,WA,47,1,13,4,29,154,514,27
Jefferson,WA,45,,13,2,30,270,656,41
King,WA,7,050,58,672,2,615,7,429
Kitsap,WA,1,058,1,231,125,002,6,878
Kittitas,WA,58,,15,10,33,251,522,1
Klickitat,WA,34,,5,,29,209,299,30
Lewis,WA,217,1,38,32,146,246,686,2
Lincoln,WA,9,,3,,6,79,153,14
Mason,WA,182,2,56,19,105,891,787,1
Okanogan,WA,97,3,17,12,65,152,344,712
Pacific,WA,45,,4,4,37,365,513,44
Pend Oreille,WA,17,,3,,14,172,282,31
Pierce,WA,4,031,26,385,1,434,4,540
San Juan,WA,7,,1,1,5,54,164,16
Skagit,WA,281,2,67,62,150,477,1,288
Skamania,WA,13,3,7,,3,72,276,29
Snohomish,WA,1,606,18,274,419,415,24,534
Spokane,WA,1,661,15,147,380,1,749,27
Stevens,WA,40,1,24,3,12,162,317,768
Thurston,WA,592,8,84,92,408,266,1,790
Wahkiakum,WA,9,,3,,6,25,44,4
Walla Walla,WA,166,,44,21,101,010,351,1
Whatcom,WA,437,4,90,96,247,410,1,785
Whitman,WA,49,,16,6,27,212,706,59
Yakima,WA,679,10,122,181,366,810,3,109
Barbour,WV,16,1,1,,14,86,113,15
Berkeley,WV,244,3,7,52,182,889,404,1
Boone,WV,49,,2,4,43,115,266,53
Braxton,WV,24,,3,1,20,44,125,16
Brooke,WV,12,,3,1,8,38,107,14
Cabell,WV,332,6,61,142,123,065,1,116
Calhoun,WV,1,,,,1,18,29,13
Clay,WV,24,1,,,23,52,48,17
Doddridge,WV,9,,1,1,7,11,15,4
Fayette,WV,71,1,5,9,56,200,376,42
Gilmer,WV,7,,1,2,4,47,60,9
Grant,WV,13,,,,13,65,40,2
Greenbrier,WV,44,,1,4,39,64,214,19
Hampshire,WV,62,2,5,,55,82,132,21
Hancock,WV,16,,,3,13,26,198,18
Hardy,WV,36,,2,,34,43,65,11
Harrison,WV,188,5,12,13,158,799,377,1
Jackson,WV,35,1,1,2,31,88,184,34
Jefferson,WV,34,1,3,6,24,114,332,40
Kanawha,WV,1,209,18,47,219,9,215,2
Lewis,WV,9,1,2,,6,15,73,11
Lincoln,WV,41,,,4,37,172,268,82
Logan,WV,171,,3,18,150,296,264,920
McDowell,WV,30,1,3,2,24,81,180,14
Marion,WV,91,1,11,15,64,202,576,117
Marshall,WV,50,,4,3,43,100,255,30
Mason,WV,38,,1,3,34,112,262,55
Mercer,WV,286,4,17,48,217,137,623,1
Mineral,WV,81,,4,8,69,104,267,20
Mingo,WV,62,2,,5,55,72,174,48
Monongalia,WV,252,,18,39,195,032,367,1
Monroe,WV,17,1,2,,14,37,40,8
Morgan,WV,14,,,2,12,57,101,16
Nicholas,WV,44,,5,4,35,126,467,57
Ohio,WV,53,6,1,3,43,30,86,12
Pendleton,WV,4,1,1,,2,17,37,7
Pleasants,WV,12,,,1,11,9,16,
Pocahontas,WV,23,1,,,22,54,54,9
Preston,WV,34,,1,2,31,107,141,24
Putnam,WV,80,1,11,7,61,305,255,935
Raleigh,WV,250,2,19,28,201,321,446,2
Randolph,WV,67,,7,8,52,136,423,21
Ritchie,WV,22,1,2,2,17,62,69,6
Roane,WV,26,2,,,24,53,171,21
Summers,WV,25,,1,1,23,41,66,8
Taylor,WV,7,,,,7,22,25,7
Tucker,WV,16,,1,,15,43,64,1
Tyler,WV,5,,1,1,3,27,29,3
Upshur,WV,22,,11,,11,52,206,18
Wayne,WV,80,1,6,14,59,044,278,638
Webster,WV,14,1,,,13,41,81,9
Wetzel,WV,16,,3,1,12,43,71,9
Wirt,WV,7,,,,7,41,44,10
Wood,WV,308,,28,30,250,333,578,1
Wyoming,WV,33,1,1,1,30,151,120,13
Adams,WI,,,,,,,2,
Ashland,WI,37,,3,,34,53,365,12
Barron,WI,58,,10,3,45,145,630,40
Bayfield,WI,40,,,,40,83,191,23
Brown,WI,604,8,78,69,449,790,1,003
Buffalo,WI,5,,3,,2,27,53,6
Burnett,WI,72,2,4,1,65,160,206,41
Calumet,WI,39,,7,6,26,115,600,29
Chippewa,WI,42,,8,3,31,133,159,916
Clark,WI,16,1,7,,8,66,239,18
Columbia,WI,53,,6,3,44,327,195,1
Crawford,WI,6,,2,,4,25,166,9
Dane,WI,1,110,3,132,350,12,024,1
Dodge,WI,54,,14,6,34,387,241,1
Door,WI,20,,10,1,9,67,354,13
Douglas,WI,68,,13,13,42,842,370,1
Dunn,WI,25,,6,3,16,152,636,60
Eau Claire,WI,184,1,19,22,142,843,428,2
Florence,WI,12,1,1,1,9,64,64,7
Fond du Lac,WI,98,1,20,10,67,947,223,1
Forest,WI,16,1,1,,14,125,205,22
Grant,WI,76,,3,,73,119,587,14
Green,WI,20,,14,,6,80,331,17
Green Lake,WI,14,,3,,11,50,248,14
Iowa,WI,18,1,2,1,14,41,290,9
Iron,WI,6,,,,6,43,82,16
Jackson,WI,25,2,1,11,11,78,276,44
Jefferson,WI,91,1,20,5,65,431,210,1
