County, State_Code, Violent_Crime_Total, Murder, Rape, Robbery, Assault, Useless, Property_Crime_Total, Burglary, Larceny-Theft, Vehicle_Theft
Grand, CO ,7,-,-,1,6,18,331,43,267,21,538
Gunnison, CO ,47,-,13,-,34,27,370,38,317,15,508
Hinsdale, CO ,1,-,-,-,1,1,11,-,9,2,33
Huerfano, CO ,18,1,-,1,16,21,137,24,107,6,146
Jackson, CO ,3,-,-,-,3,1,10,1,7,2,25
Jefferson, CO ,1,369,9,161,333,866,899,19,861,3,016,13,991,2,854,16,978
Kiowa, CO ,(NA),(NA),(NA),(NA),(NA),4,(NA),(NA),(NA),(NA),2
Kit Carson, CO ,12,-,1,-,11,18,128,21,102,5,174
Lake, CO ,22,-,-,-,22,13,134,29,90,15,104
La Plata, CO ,71,1,12,6,52,119,1,298,228,992,78,1,446
Larimer, CO ,578,2,177,44,355,585,8,790,1,328,6,944,518,8,435
Las Animas, CO ,20,-,2,1,17,55,241,41,189,11,253
Lincoln, CO ,2,-,1,-,1,5,17,-,15,2,37
Logan, CO ,38,1,6,4,27,61,438,92,315,31,647
Mesa, CO ,344,3,50,26,265,235,4,757,927,3,489,341,4,306
Mineral, CO ,1,-,-,-,1,2,3,2,1,-,2
Moffat, CO ,30,1,1,1,27,26,370,60,294,16,362
Montezuma, CO ,92,3,1,3,85,18,710,140,528,42,591
Montrose, CO ,55,-,14,3,38,53,742,113,584,45,874
Morgan, CO ,19,-,-,3,16,29,633,89,521,23,736
Otero, CO ,58,-,7,6,45,60,613,77,526,10,352
Ouray, CO ,-,-,-,-,-,1,25,3,22,-,9
Park, CO ,30,1,-,-,29,3,83,52,16,15,193
Phillips, CO ,4,1,2,-,1,4,25,7,15,3,12
Pitkin, CO ,28,-,11,1,16,36,643,80,528,35,969
Prowers, CO ,20,-,5,5,10,10,494,105,368,21,473
Pueblo, CO ,713,8,37,212,456,1,019,7,183,1,625,5,053,505,5,319
Rio Blanco, CO ,17,-,1,-,16,22,109,16,89,4,121
Rio Grande, CO ,35,-,4,3,28,24,209,53,155,1,391
Routt, CO ,25,-,3,-,22,35,287,40,229,18,477
Saguache, CO ,30,1,2,1,26,11,63,26,33,4,89
San Juan, CO ,3,-,-,-,3,3,15,3,12,-,28
San Miguel, CO ,12,-,-,1,11,5,171,20,148,3,176
Sedgwick, CO ,5,-,-,-,5,6,43,15,26,2,42
Summit, CO ,21,-,2,2,17,46,1,016,79,917,20,1,985
Teller, CO ,47,2,5,1,39,28,406,60,327,19,267
Washington, CO ,5,-,1,-,4,5,71,16,47,8,16
Weld, CO ,770,9,106,84,571,524,8,236,1,551,5,896,789,6,138
Yuma, CO ,12,-,2,-,10,4,146,34,105,7,137
Fairfield, CT ,2,535,25,137,983,1,390,3,076,20,316,3,446,14,726,2,144,21,914
Hartford, CT ,2,996,26,201,1,493,1,276,3,049,30,557,5,018,21,026,4,513,29,778
Litchfield, CT ,148,4,10,22,112,167,2,128,393,1,588,147,2,180
Middlesex, CT ,85,2,3,39,41,104,2,346,265,1,920,161,2,408
New Haven, CT ,2,323,15,166,994,1,148,2,966,24,193,4,012,17,547,2,634,29,309
New London, CT ,541,11,106,146,278,501,3,788,633,2,919,236,4,065
Tolland, CT ,47,-,10,18,19,48,732,143,525,64,1,360
Windham, CT ,98,1,14,36,47,164,1,043,173,791,79,1,309
Kent, DE ,938,4,77,136,721,(NA),4,629,914,3,379,336,4,415
New Castle, DE ,3,241,23,201,1,068,1,949,(NA),17,610,3,321,12,545,1,744,20,637
Sussex, DE ,926,1,79,139,707,(NA),5,017,1,434,3,361,222,4,501
Alachua, FL ,1,896,8,157,310,1,421,2,095,9,341,2,533,6,064,744,12,646
Baker, FL ,106,1,2,11,92,92,414,89,293,32,464
Bay, FL ,1,095,11,97,163,824,914,7,642,1,632,5,493,517,7,072
Bradford, FL ,146,-,13,8,125,148,535,140,347,48,740
Brevard, FL ,3,344,14,204,502,2,624,2,819,15,374,4,261,9,935,1,178,14,385
Broward, FL ,10,513,63,506,3,520,6,424,9,792,64,006,13,013,43,933,7,060,67,449
Calhoun, FL ,25,-,-,2,23,(NA),110,30,72,8,(NA)
Charlotte, FL ,632,5,41,82,504,312,4,657,1,267,3,118,272,2,985
Citrus, FL ,390,2,28,22,338,329,2,496,607,1,710,179,2,366
Clay, FL ,655,6,46,61,542,498,3,606,833,2,481,292,4,602
Collier, FL ,1,317,14,94,218,991,1,378,6,834,1,550,4,868,416,8,576
Columbia, FL ,418,2,29,55,332,175,2,240,569,1,550,121,1,139
DeSoto, FL ,228,4,6,24,194,268,898,280,583,35,976
Dixie, FL ,84,1,16,8,59,58,421,160,243,18,387
Duval, FL ,6,810,105,232,2,292,4,181,8,507,45,748,9,497,31,357,4,894,45,608
Escambia, FL ,2,057,19,134,370,1,534,1,825,11,149,2,852,7,513,784,9,448
Flagler, FL ,198,-,12,19,167,150,1,430,347,981,102,1,244
Franklin, FL ,38,1,7,7,23,20,319,54,247,18,243
Gadsden, FL ,361,6,23,38,294,332,1,351,390,880,81,1,649
Gilchrist, FL ,30,-,2,2,26,76,327,114,185,28,343
Glades, FL ,45,1,1,2,41,32,230,76,134,20,321
Gulf, FL ,57,-,4,1,52,61,246,88,139,19,249
Hamilton, FL ,96,-,1,14,81,101,378,106,229,43,307
Hardee, FL ,165,-,10,19,136,102,885,244,578,63,919
Hendry, FL ,295,2,12,63,218,271,1,244,336,802,106,1,274
Hernando, FL ,899,4,81,70,744,846,4,563,1,320,2,976,267,4,514
Highlands, FL ,426,4,22,72,328,443,2,837,928,1,735,174,2,886
Hillsborough, FL ,10,343,58,449,2,496,7,340,11,263,57,736,13,035,36,836,7,865,60,185
Holmes, FL ,53,-,3,5,45,58,229,73,135,21,177
Indian River, FL ,496,1,56,65,374,436,3,995,869,2,906,220,4,589
Jackson, FL ,258,4,19,13,222,323,1,009,296,637,76,985
Jefferson, FL ,99,-,10,3,86,90,148,53,86,9,300
Lafayette, FL ,40,1,9,2,28,(NA),96,34,56,6,(NA)
Lake, FL ,1,615,9,82,135,1,389,1,838,6,649,2,134,3,960,555,6,849
Lee, FL ,2,908,31,175,757,1,945,2,600,18,259,4,618,11,432,2,209,18,732
Leon, FL ,1,996,13,205,391,1,387,2,525,10,852,3,611,6,217,1,024,14,159
Levy, FL ,278,1,35,15,227,284,1,198,353,764,81,1,368
Liberty, FL ,17,-,1,2,14,18,42,16,22,4,78
Madison, FL ,155,-,13,12,130,133,613,180,410,23,1,110
Manatee, FL ,2,491,13,98,511,1,869,2,379,14,559,3,522,9,908,1,129,11,481
Marion, FL ,2,018,17,167,208,1,626,2,021,8,794,2,405,5,730,659,9,832
